merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60001205,老妈烫饭,小吃快餐,龙蟠路171号,3.6,3.6,3.6,3.5,17,118.8073889,32.07418536,15312008934,06:30-17:00,1
60001206,金陵大包,小吃快餐,红山南路89号-B栋(南京站地铁站13号口步行70米),3.5,3.5,3.5,3.5,31,118.7906439,32.09223552,18625159527,14:00-21:00,1
60001207,蒸全味,小吃快餐,板仓街1-1号,3.7,3.6,3.7,3.7,6,118.8121531,32.06936294,,16:00-02:00,1
60001208,辣哆辣麻辣烫 麻辣香锅,川菜,红山路88号常发广场一楼,3.7,3.7,3.7,3.7,24,118.8064167,32.08781855,15380424707,07:30-20:00,1
60001209,当当美食,小吃快餐,中央路70号,3.4,3.5,3.4,3.4,,118.7797403,32.06967294,18626457889,10:30-21:30,1
60001210,关陇秦脉凉皮·油泼面,小吃快餐,龙蟠路1号南京商厦1楼,3.5,3.5,3.5,3.5,20,118.7795398,32.09324974,,11:00-22:30,1
60001211,苏客,小吃快餐,太平门街2号,3.7,3.7,3.7,3.7,26,118.8049043,32.05934971,,10:00-21:00,1
60001212,煲仔皇,小吃快餐,龙蟠路1号,4.2,4.2,4.2,4.2,38,118.7794657,32.09332666,17633509531,08:30-22:00,1
60001213,金原鸭血粉丝汤总店,小吃快餐,锁金南路第十三中学锁金校区西南门东行70米,4.1,3.8,4,4.1,20,118.813188,32.07308765,13405845586,10:30-02:00,1
60001214,百菜宴,更多地方菜,龙蟠路149号湖畔居1幢四单元107室,3.6,3.6,3.6,3.6,,118.8004945,32.08296926,13951602162,11:00-21:30,1
60001215,米掌门,小吃快餐,玄武门街道垠坤创意中央科技文化园负一楼,,,,0,,118.7802802,32.08920378,,10:30-21:00,1
60001216,小江南农家菜,本帮江浙菜,廖家巷(新模范马路地铁站2号口步行360米),3.5,3.5,3.5,3.5,68,118.7794514,32.08540998,025-83410536,18:00-02:30,1
60001217,来一客菜馆,本帮江浙菜,花园路7号,3.5,3.5,3.5,3.5,47,118.8199224,32.08171105,13951086967,09:00-19:00,1
60001218,阿咪地锅土灶盆菜馆,本帮江浙菜,板仓街200-5号,3.6,3.6,3.7,3.6,58,118.8210973,32.07688722,13809040513,11:00-22:00,1
60001219,伊利冷饮配送,饮品店,小市街50号小区(小市地铁站东南),,,,0,20,118.7840692,32.09435069,13405800095,07:30-19:30,1
60001220,DQ·蛋糕·冰淇淋,饮品店,龙蟠路1号南京商厦1楼美食荟,4.2,4.2,4.2,4.2,22,118.7794647,32.09330566,13851775045,06:30-20:00,1
60001221,DQ·蛋糕·冰淇淋,饮品店,玄武门街道玄武巷1号玄武湖景区环湖路房屋,3.8,3.8,3.7,3.7,30,118.7827733,32.07283741,15895818405,11:00-22:00,1
60001222,出野,其他美食,红山路4号,,,,0,,118.804871,32.08370095,,10:30-21:30,1
60001223,南京林业大学一村食堂,其他美食,龙蟠路159号,3.9,4,3.9,4,20,118.8086983,32.07688829,025-85427083,11:00-21:00,1
60001224,红山老兵营,其他美食,曹后村路与红山南路交叉口北80米,,,,0,,118.8002887,32.08731184,,10:30-22:00,1
60001225,迎湖饭店,其他美食,龙蟠路79号(地铁1号线、3号线南京站1号出口西行600米),3.4,3.4,3.4,3.4,128,118.7846573,32.0916069,025-85607509,10:00-21:30,1
60001226,徐州擀面皮凉皮凉面特色菜煎饼,其他美食,锁金村6号1-1号,,,,0,,118.8122773,32.07066045,18360451305,10:30-22:00,1
60001227,张府园包子店,小吃快餐,中央北路河路道千禧苑小区55一1号,3.5,3.5,3.5,3.5,6,118.7774329,32.0953047,13401982776,10:00-21:00,1
60001228,军歌18号花园酒店-餐厅,其他美食,芦席营68号南汽商务大厦内,3.9,3.9,3.9,3.9,237,118.7759454,32.0804429,025-52412330,10:30-20:00,1
60001229,大佬驾到,其他美食,龙蟠路177-4号门面房,3.4,3.5,3.5,3.5,,118.8087497,32.07352866,,16:00-03:00,1
60001230,名轩·中餐厅,其他美食,锁金村街道龙蟠路199号南京玄武湖假日酒店二楼(地铁4号线岗子村站2号出口),4.3,4.4,4.4,4.4,123,118.8106391,32.06851999,025-84270888,11:00-21:00,1
60001231,强发饭店南京特色土菜馆,其他美食,韶山路246号韶山路246号院,3.4,3.3,3.4,3.4,,118.7859474,32.09084149,13913980319,10:30-22:00,1
60001232,粤饺皇饺子云吞,其他美食,北京东路30号兰园集贸市场（北京东路店）,3.6,3.6,3.6,3.6,35,118.7975522,32.05910318,13951899916,17:00-02:00,1
60001233,霸王甲鱼馆,其他美食,百灵街29号门面3室,,,,0,,118.7820932,32.09547136,13611546764,10:00-23:00,1
60001234,林苑风和餐厅,更多地方菜,龙蟠路辅路与树人路交叉口东南120米,3.7,3.6,3.7,3.7,35,118.805602,32.07756292,025-85428318,10:30-22:00,1
